AFFGEOID,count
1500000US040133187002,469
1500000US040133184002,319
1500000US040133197041,291
1500000US040133197031,255
1500000US040133199101,203
1500000US040133192021,150
1500000US040133191031,139
1500000US040133200011,134
1500000US040133188004,130
1500000US040133201002,123
1500000US040133191011,121
1500000US040133191042,112
1500000US040133197051,111
1500000US040133200073,106
1500000US040133200012,103
1500000US040133199022,101
1500000US040133201001,100
1500000US040133198004,87
1500000US040133189001,83
1500000US040133189003,79
1500000US040133200072,78
1500000US040133189004,74
1500000US040133195004,72
1500000US040133192012,70
1500000US040133191033,70
1500000US040133188001,70
1500000US040133191044,67
1500000US040133194013,62
1500000US040133191043,62
1500000US040133200071,61
1500000US040133194022,61
1500000US040133193001,59
1500000US040133192022,59
1500000US040133189002,58
1500000US040133198006,58
1500000US040133191041,56
1500000US040133192014,56
1500000US040133199031,56
1500000US040133200013,55
1500000US040133197052,55
1500000US040133194015,54
1500000US040133194034,53
1500000US040133194012,53
1500000US040133195002,53
1500000US040133190003,51
1500000US040138100001,51
1500000US040133196003,51
1500000US040133199041,51
1500000US040133199081,50
1500000US040133197063,48
1500000US040133190002,47
1500000US040133196002,47
1500000US040133197033,46
1500000US040133184001,46
1500000US040133199021,44
1500000US040133198002,43
1500000US040133184003,43
1500000US040133191012,43
1500000US040133191032,43
1500000US040133196004,42
1500000US040133192013,40
1500000US040133199033,40
1500000US040133187001,39
1500000US040133199051,38
1500000US040133194014,37
1500000US040133192011,37
1500000US040133198005,37
1500000US040133188003,37
1500000US040133198003,36
1500000US040133200074,36
1500000US040133194033,34
1500000US040133195001,33
1500000US040133199091,32
1500000US040133190001,32
1500000US040133194042,32
1500000US040133198001,31
1500000US040133190004,31
1500000US040133188002,31
1500000US040133197062,30
1500000US040133185011,30
1500000US040133194021,29
1500000US040133194031,29
1500000US040133194041,28
1500000US040133199061,27
1500000US040138101003,26
1500000US040133199034,26
1500000US040133185012,25
1500000US040133199072,24
1500000US040133199043,24
1500000US040133194011,23
1500000US040133195003,22
1500000US040133197032,22
1500000US040138101001,21
1500000US040133194032,21
1500000US040133199053,20
1500000US040133196001,20
1500000US040133199062,20
1500000US040138101004,20
1500000US040133197053,19
1500000US040133199052,18
1500000US040133199032,18
1500000US040133200014,17
1500000US040134212011,17
1500000US040133199102,16
1500000US040133197061,14
1500000US040133199054,12
1500000US040138101002,12
1500000US040133199071,10
1500000US040133199042,7
1500000US040133185013,5
1500000US040134222051,2
1500000US040133200023,1
1500000US040133200021,1
