AFFGEOID,count
1500000US040133197041,33
1500000US040133184002,28
1500000US040133197031,24
1500000US040133191043,21
1500000US040133187002,19
1500000US040133200073,17
1500000US040133199101,17
1500000US040133188004,14
1500000US040133197051,13
1500000US040133193001,13
1500000US040133200012,13
1500000US040133191031,12
1500000US040133192021,12
1500000US040133184003,11
1500000US040133198004,11
1500000US040133200013,10
1500000US040133201001,10
1500000US040133197063,9
1500000US040133201002,9
1500000US040133199081,8
1500000US040133194015,8
1500000US040133200072,8
1500000US040133195004,7
1500000US040133194031,7
1500000US040133197033,7
1500000US040133192011,7
1500000US040133189001,6
1500000US040133185012,6
1500000US040133196002,6
1500000US040133198005,6
1500000US040133200071,6
1500000US040133192012,6
1500000US040133194012,6
1500000US040133191044,6
1500000US040133191012,6
1500000US040133199031,5
1500000US040133199041,5
1500000US040133184001,5
1500000US040138100001,5
1500000US040133200011,5
1500000US040133195002,5
1500000US040133192022,5
1500000US040133188001,5
1500000US040133194013,4
1500000US040133189003,4
1500000US040133192014,4
1500000US040133191032,4
1500000US040133199022,4
1500000US040133197052,4
1500000US040133198001,4
1500000US040133198006,4
1500000US040133199051,4
1500000US040133189004,4
1500000US040133194042,4
1500000US040133194034,4
1500000US040133194041,4
1500000US040133191041,4
1500000US040133194033,3
1500000US040133200014,3
1500000US040133191011,3
1500000US040133199062,3
1500000US040133187001,3
1500000US040133196003,3
1500000US040133199061,3
1500000US040133199053,3
1500000US040133197062,3
1500000US040133199102,3
1500000US040133185011,3
1500000US040133189002,3
1500000US040133191033,3
1500000US040133198002,3
1500000US040133199072,2
1500000US040133196004,2
1500000US040133194021,2
1500000US040133199034,2
1500000US040133199021,2
1500000US040133197053,2
1500000US040133199043,2
1500000US040133191042,2
1500000US040133194014,2
1500000US040133197061,2
1500000US040133197032,2
1500000US040138101001,1
1500000US040133195001,1
1500000US040134212011,1
1500000US040133199052,1
1500000US040133190002,1
1500000US040133199042,1
1500000US040138101004,1
1500000US040133199054,1
1500000US040133199071,1
1500000US040138101003,1
1500000US040133190003,1
1500000US040133198003,1
1500000US040133199032,1
1500000US040133200074,1
1500000US040133199033,1
1500000US040133194022,1
1500000US040133194011,1
1500000US040133190001,1
1500000US040133200023,1
1500000US040133190004,1
1500000US040133192013,1
1500000US040133188003,1
