AFFGEOID,count
1500000US040133187002,366
1500000US040133184002,279
1500000US040133197041,257
1500000US040133197031,226
1500000US040133199101,191
1500000US040133191031,132
1500000US040133192021,129
1500000US040133200011,123
1500000US040133188004,118
1500000US040133191011,104
1500000US040133201002,104
1500000US040133200073,96
1500000US040133191042,94
1500000US040133197051,93
1500000US040133200012,91
1500000US040133201001,88
1500000US040133199022,82
1500000US040133189003,75
1500000US040133198004,71
1500000US040133189001,68
1500000US040133195004,67
1500000US040133200072,67
1500000US040133189004,63
1500000US040133191033,61
1500000US040133191044,60
1500000US040133188001,58
1500000US040133194013,56
1500000US040133194022,56
1500000US040133192012,54
1500000US040133192014,54
1500000US040133191043,54
1500000US040133198006,52
1500000US040133200013,50
1500000US040133192022,50
1500000US040133200071,50
1500000US040133194015,49
1500000US040133199031,48
1500000US040133197052,48
1500000US040133195002,48
1500000US040133194012,48
1500000US040133193001,48
1500000US040133189002,47
1500000US040133196003,47
1500000US040138100001,45
1500000US040133196002,44
1500000US040133199041,44
1500000US040133194034,43
1500000US040133199081,43
1500000US040133190002,42
1500000US040133184003,41
1500000US040133191041,41
1500000US040133190003,40
1500000US040133199021,39
1500000US040133197033,39
1500000US040133196004,39
1500000US040133197063,38
1500000US040133198002,38
1500000US040133191032,36
1500000US040133184001,36
1500000US040133199033,36
1500000US040133187001,36
1500000US040133192013,34
1500000US040133198005,33
1500000US040133198003,33
1500000US040133188003,32
1500000US040133194014,32
1500000US040133192011,31
1500000US040133200074,31
1500000US040133199091,31
1500000US040133191012,31
1500000US040133199051,30
1500000US040133188002,28
1500000US040133194033,28
1500000US040133195001,27
1500000US040133194042,27
1500000US040133194031,26
1500000US040133197062,26
1500000US040133190004,26
1500000US040133194041,24
1500000US040133194021,24
1500000US040133199061,24
1500000US040133185011,24
1500000US040133185012,22
1500000US040133198001,22
1500000US040138101001,21
1500000US040133195003,21
1500000US040133199072,21
1500000US040138101003,21
1500000US040133199034,21
1500000US040133194011,20
1500000US040138101004,20
1500000US040133199053,20
1500000US040133197032,19
1500000US040133199062,19
1500000US040133194032,18
1500000US040133199043,17
1500000US040133199052,17
1500000US040133196001,16
1500000US040133200014,16
1500000US040133197053,15
1500000US040133199032,15
1500000US040134212011,14
1500000US040133190001,14
1500000US040133199102,13
1500000US040133197061,11
1500000US040138101002,11
1500000US040133199054,11
1500000US040133199071,9
1500000US040133199042,7
1500000US040133185013,5
1500000US040133200023,1
1500000US040133200021,1
