AFFGEOID,count
1500000US371830540151,633
1500000US371830537171,450
1500000US371830501001,412
1500000US371830540181,333
1500000US371830527012,235
1500000US371830541052,225
1500000US371830527051,219
1500000US371830527073,188
1500000US371830545002,181
1500000US371830503002,139
1500000US371830528062,133
1500000US371830536101,132
1500000US371830520012,131
1500000US371830540141,123
1500000US371830527013,119
1500000US371830536102,109
1500000US371830519001,108
1500000US371830527052,106
1500000US371830527041,103
1500000US371830512003,100
1500000US371830542071,97
1500000US371830545003,96
1500000US371830509002,94
1500000US371830524011,90
1500000US371830527061,88
1500000US371830528063,85
1500000US371830523023,84
1500000US371830521011,84
1500000US371830526012,78
1500000US371830524062,78
1500000US371830537241,78
1500000US371830537073,73
1500000US371830528033,72
1500000US371830528064,71
1500000US371830527043,70
1500000US371830524041,70
1500000US371830541063,69
1500000US371830520011,69
1500000US371830541062,68
1500000US371830505002,68
1500000US371830507003,67
1500000US371830521021,66
1500000US371830540182,63
1500000US371830541061,62
1500000US371830524081,62
1500000US371830507001,61
1500000US371830540082,61
1500000US371830519002,61
1500000US371830523012,61
1500000US371830511012,59
1500000US371830523013,59
1500000US371830506002,57
1500000US371830521014,56
1500000US371830525052,55
1500000US371830527063,55
1500000US371830540013,54
1500000US371830525072,54
1500000US371830525062,53
1500000US371830509001,53
1500000US371830521012,51
1500000US371830537261,51
1500000US371830540171,50
1500000US371830537162,50
1500000US371830528072,49
1500000US371830524071,48
1500000US371830524072,48
1500000US371830541051,48
1500000US371830530081,46
1500000US371830527072,46
1500000US371830506003,46
1500000US371830540011,44
1500000US371830545001,44
1500000US371830507002,43
1500000US371830520021,43
1500000US371830541041,43
1500000US371830505003,43
1500000US371830537092,43
1500000US371830542091,42
1500000US371830545004,42
1500000US371830526022,41
1500000US371830523021,41
1500000US371830541043,41
1500000US371830524093,39
1500000US371830504001,39
1500000US371830540083,39
1500000US371830510001,39
1500000US371830528061,38
1500000US371830541042,38
1500000US371830512002,35
1500000US371830540071,35
1500000US371830520022,35
1500000US371830525043,35
1500000US371830540131,35
1500000US371830540043,35
1500000US371830509003,34
1500000US371830527071,34
1500000US371830523022,34
1500000US371830537262,34
1500000US371830528071,33
1500000US371830525051,33
1500000US371830525041,33
1500000US371830540081,33
1500000US371830524082,33
1500000US371830527042,32
1500000US371830521013,32
1500000US371830538071,32
1500000US371830540122,31
1500000US371830508002,31
1500000US371830503001,30
1500000US371830524043,30
1500000US371830540143,29
1500000US371830524063,29
1500000US371830537091,29
1500000US371830540061,29
1500000US371830518001,29
1500000US371830521022,29
1500000US371830537252,29
1500000US371830518003,28
1500000US371830540142,28
1500000US371830540012,28
1500000US371830520023,28
1500000US371830520024,27
1500000US371830541102,27
1500000US371830541044,27
1500000US371830527011,27
1500000US371830540133,26
1500000US371830538084,26
1500000US371830542081,26
1500000US371830505001,26
1500000US371830510002,25
1500000US371830537113,25
1500000US371830537141,25
1500000US371830514005,24
1500000US371830537231,24
1500000US371830540163,23
1500000US371830540084,23
1500000US371830541053,23
1500000US371830515011,23
1500000US371830537163,23
1500000US371830537151,23
1500000US371830524012,22
1500000US371830506001,22
1500000US371830540042,22
1500000US371830540162,22
1500000US371830524042,22
1500000US371830519003,22
1500000US371830540123,22
1500000US371830514004,21
1500000US371830540111,21
1500000US371830508001,21
1500000US371830538082,21
1500000US371830525032,21
1500000US371830526032,20
1500000US371830525031,19
1500000US371830540072,19
1500000US371830525071,19
1500000US371830537131,18
1500000US371830537072,18
1500000US371830527062,17
1500000US371830526011,17
1500000US371830537222,17
1500000US371830524061,17
1500000US371830504002,17
1500000US371830526031,16
1500000US371830517003,16
1500000US371830537132,15
1500000US371830525061,15
1500000US371830525033,15
1500000US371830541131,15
1500000US371830537142,15
1500000US371830541101,14
1500000US371830526021,14
1500000US371830523011,13
1500000US371830540121,13
1500000US371830540132,13
1500000US371830537143,13
1500000US371830508003,13
1500000US371830537251,13
1500000US371830540134,13
1500000US371830541054,13
1500000US371830537093,13
1500000US371830540041,12
1500000US371830516003,12
1500000US371830514002,11
1500000US371830515022,11
1500000US371830537122,11
1500000US371830515012,11
1500000US371830537211,10
1500000US371830516005,10
1500000US371830516002,10
1500000US371830541132,10
1500000US371830542102,9
1500000US371830537232,9
1500000US371830524091,9
1500000US371830516001,9
1500000US371830517001,9
1500000US371830537161,9
1500000US371830525042,9
1500000US371830515021,8
1500000US371830518002,8
1500000US371830526023,7
1500000US371830514001,7
1500000US371830537071,7
1500000US371830540044,7
1500000US371830537221,7
1500000US371830511022,6
1500000US371830512001,6
1500000US371830537111,6
1500000US371830517002,6
1500000US371830540112,5
1500000US370630019002,5
1500000US371830511023,5
1500000US371830540062,5
1500000US371830537121,5
1500000US371830537152,5
1500000US371830530082,5
1500000US371830540161,5
1500000US371830537224,5
1500000US371830537191,4
1500000US371830537181,4
1500000US371830541103,4
1500000US371830524092,3
1500000US371830514003,3
1500000US371830537223,3
1500000US371830516004,3
1500000US371830530094,2
1500000US371839801001,2
1500000US371830538081,2
1500000US371830530091,2
1500000US371830541055,2
1500000US371830537112,2
1500000US371830538061,1
1500000US371830537192,1
1500000US371830538083,1
1500000US371830535122,1
1500000US371830511013,1
1500000US371830538051,1
