AFFGEOID,count
1500000US060750117002,249
1500000US060750615001,214
1500000US060750176015,170
1500000US060750125012,145
1500000US060750176013,136
1500000US060750180002,124
1500000US060750122021,98
1500000US060759809001,93
1500000US060750176011,92
1500000US060750125011,88
1500000US060750208001,88
1500000US060750125022,87
1500000US060750124011,76
1500000US060750201004,75
1500000US060750201003,74
1500000US060750177002,71
1500000US060750612001,71
1500000US060750178021,70
1500000US060750607001,67
1500000US060750117001,66
1500000US060750206004,63
1500000US060750209001,59
1500000US060750124023,57
1500000US060750257022,57
1500000US060750232003,56
1500000US060750101001,55
1500000US060750124021,54
1500000US060750124022,53
1500000US060750123011,53
1500000US060750105002,49
1500000US060750201001,47
1500000US060750208003,46
1500000US060750177001,45
1500000US060750234001,43
1500000US060750208002,41
1500000US060750231032,40
1500000US060750251003,40
1500000US060750228031,40
1500000US060750176014,40
1500000US060750228011,39
1500000US060750232002,39
1500000US060750228022,39
1500000US060750122011,39
1500000US060750179021,38
1500000US060750180001,38
1500000US060750253003,38
1500000US060750263012,37
1500000US060759803001,36
1500000US060750159001,36
1500000US060750230011,35
1500000US060750229032,34
1500000US060750101002,34
1500000US060750229011,34
1500000US060750610001,33
1500000US060750201002,33
1500000US060750614001,32
1500000US060750611001,32
1500000US060750111001,32
1500000US060750159002,32
1500000US060750120001,31
1500000US060750130003,31
1500000US060750231021,31
1500000US060750169001,30
1500000US060750605023,30
1500000US060750178022,30
1500000US060750206001,30
1500000US060750209004,30
1500000US060750124012,30
1500000US060750111003,28
1500000US060750120002,28
1500000US060750176012,27
1500000US060750228013,27
1500000US060750161004,27
1500000US060750102001,26
1500000US060750605022,26
1500000US060750260012,26
1500000US060750166004,24
1500000US060750232001,24
1500000US060750614002,23
1500000US060750313023,23
1500000US060750160001,23
1500000US060750202003,23
1500000US060750332011,23
1500000US060750226002,22
1500000US060750233001,22
1500000US060750261001,22
1500000US060750611002,22
1500000US060750162002,22
1500000US060750168021,21
1500000US060750264011,21
1500000US060750151002,21
1500000US060750111002,21
1500000US060750157001,21
1500000US060750260041,20
1500000US060750178011,20
1500000US060750158012,20
1500000US060750229021,20
1500000US060750161001,20
1500000US060750612002,20
1500000US060750123022,20
1500000US060750121002,19
1500000US060750260021,19
1500000US060750122012,19
1500000US060750209002,18
1500000US060750107003,18
1500000US060750261003,17
1500000US060750208004,17
1500000US060750155001,17
1500000US060750615002,17
1500000US060750231022,17
1500000US060750261004,17
1500000US060750113002,16
1500000US060750203001,16
1500000US060750251001,16
1500000US060750106002,16
1500000US060750129023,16
1500000US060750178012,16
1500000US060750332031,15
1500000US060750257021,15
1500000US060750611003,14
1500000US060750228012,14
1500000US060750209003,14
1500000US060750264031,14
1500000US060750205001,14
1500000US060750155002,13
1500000US060750110002,13
1500000US060750230013,13
1500000US060750254011,13
1500000US060750254013,13
1500000US060750123012,13
1500000US060750615003,13
1500000US060750615005,13
1500000US060750164001,13
1500000US060750216002,13
1500000US060750311004,12
1500000US060750254032,12
1500000US060750610002,12
1500000US060750234002,12
1500000US060750168011,12
1500000US060750161003,12
1500000US060750121001,12
1500000US060750308005,12
1500000US060750479012,12
1500000US060750102003,12
1500000US060750263023,12
1500000US060750255004,12
1500000US060750168022,11
1500000US060750252001,11
1500000US060750166002,11
1500000US060750255006,11
1500000US060750109003,11
1500000US060750452001,11
1500000US060750605021,11
1500000US060750262001,11
1500000US060750264032,11
1500000US060750607002,11
1500000US060750104001,10
1500000US060750166001,10
1500000US060750203002,10
1500000US060750328013,10
1500000US060750476001,10
1500000US060750262002,10
1500000US060750253004,10
1500000US060750152003,9
1500000US060750258001,9
1500000US060750312012,9
1500000US060750607003,9
1500000US060750106003,9
1500000US060750154003,9
1500000US060750312013,9
1500000US060750158011,9
1500000US060750477011,9
1500000US060750231031,9
1500000US060750171023,9
1500000US060750258002,9
1500000US060750165001,9
1500000US060750306002,9
1500000US060750264041,9
1500000US060750255003,8
1500000US060750163001,8
1500000US060750308001,8
1500000US060750260032,8
1500000US060750163003,8
1500000US060750118001,8
1500000US060750202001,8
1500000US060750157003,8
1500000US060750128003,8
1500000US060750257013,8
1500000US060750259003,8
1500000US060750314002,8
1500000US060750162001,8
1500000US060750217003,8
1500000US060750254031,8
1500000US060750166003,8
1500000US060750452002,8
1500000US060750207001,8
1500000US060750229012,8
1500000US060750451003,8
1500000US060750125021,7
1500000US060750169002,7
1500000US060750229031,7
1500000US060750255002,7
1500000US060750226001,7
1500000US060750229013,7
1500000US060750214003,7
1500000US060750257023,7
1500000US060750257012,7
1500000US060750207002,7
1500000US060750257011,7
1500000US060750310002,7
1500000US060750218004,7
1500000US060750352023,7
1500000US060750126022,7
1500000US060750202002,7
1500000US060750254022,7
1500000US060750259001,7
1500000US060750479013,7
1500000US060750230032,7
1500000US060750105001,7
1500000US060750229033,7
1500000US060750256001,7
1500000US060750309003,7
1500000US060750301011,7
1500000US060750309006,6
1500000US060750451001,6
1500000US060750152001,6
1500000US060759806001,6
1500000US060750260031,6
1500000US060750153001,6
1500000US060750113001,6
1500000US060750126011,6
1500000US060750604001,6
1500000US060750261002,6
1500000US060750312011,6
1500000US060750135002,6
1500000US060750314003,6
1500000US060750103001,6
1500000US060750476004,6
1500000US060750601001,6
1500000US060750210003,6
1500000US060750210001,6
1500000US060750262004,6
1500000US060750230012,6
1500000US060750228032,6
1500000US060750259002,6
1500000US060750157002,6
1500000US060750313012,6
1500000US060750263021,6
1500000US060750168012,6
1500000US060750263011,6
1500000US060750107004,6
1500000US060750203003,6
1500000US060750156003,6
1500000US060750161002,6
1500000US060750330002,6
1500000US060750452005,6
1500000US060750303023,5
1500000US060750264022,5
1500000US060750158013,5
1500000US060750307003,5
1500000US060750330001,5
1500000US060750312022,5
1500000US060750157004,5
1500000US060750313022,5
1500000US060750107001,5
1500000US060750112003,5
1500000US060750216001,5
1500000US060750155003,5
1500000US060750264023,5
1500000US060750402001,5
1500000US060750255001,5
1500000US060750227041,5
1500000US060750478013,5
1500000US060750309007,5
