AFFGEOID,count
1500000US040133187002,90
1500000US040133184002,46
1500000US040133197031,35
1500000US040133192012,34
1500000US040133197041,30
1500000US040133190001,27
1500000US040133189001,22
1500000US040133192021,21
1500000US040133191011,21
1500000US040133201002,21
1500000US040133193001,20
1500000US040133198004,19
1500000US040133197051,18
1500000US040133192022,18
1500000US040133191031,17
1500000US040133184001,17
1500000US040133190003,14
1500000US040133201001,14
1500000US040133191042,14
1500000US040133199022,14
1500000US040133188004,14
1500000US040133200073,13
1500000US040133200011,12
1500000US040133195004,11
1500000US040133200012,11
1500000US040133188003,11
1500000US040133191032,10
1500000US040133200071,10
1500000US040133189004,10
1500000US040133188001,10
1500000US040138100001,10
1500000US040133191041,10
1500000US040133200072,9
1500000US040133191043,9
1500000US040133199101,9
1500000US040133190002,9
1500000US040133191012,9
1500000US040133189003,9
1500000US040133198003,9
1500000US040133198005,8
1500000US040133194012,8
1500000US040133191033,8
1500000US040133198006,8
1500000US040133200013,8
1500000US040133184003,7
1500000US040133189002,7
1500000US040133191044,7
1500000US040133198002,6
1500000US040133192013,6
1500000US040133197063,6
1500000US040133196003,6
1500000US040133199081,5
1500000US040133194031,5
1500000US040133190004,5
1500000US040133195003,5
1500000US040133197061,5
1500000US040133192011,5
1500000US040133199061,5
1500000US040133192014,5
1500000US040133199041,5
1500000US040133197053,5
1500000US040133194041,5
1500000US040133194021,5
1500000US040133197052,5
1500000US040133194015,4
1500000US040133198001,4
1500000US040133199033,4
1500000US040133185011,4
1500000US040133194034,4
1500000US040133194013,4
1500000US040133196004,4
1500000US040133199021,4
1500000US040133199052,4
1500000US040133200074,4
1500000US040133199031,4
1500000US040133188002,4
1500000US040133194033,4
1500000US040133194022,4
1500000US040133199043,4
1500000US040133199071,4
1500000US040133185013,3
1500000US040133187001,3
1500000US040133199032,3
1500000US040133197032,3
1500000US040133196001,3
1500000US040133194014,3
1500000US040133199051,3
1500000US040133199091,3
1500000US040138101001,3
1500000US040138101002,2
1500000US040133195002,2
1500000US040133185012,2
1500000US040133194042,2
1500000US040133199072,2
1500000US040133197033,2
1500000US040133199034,2
1500000US040138101004,2
1500000US040134212011,2
1500000US040133194011,2
1500000US040133200023,1
1500000US040133200014,1
1500000US040133199054,1
1500000US040133199053,1
1500000US040133194032,1
1500000US040133195001,1
1500000US040133199062,1
